division_raw,home,h_goals,a_goals,away,referee,location,tournament,played,reason,date_sort,date,group
14.6 Boys Sat,Belmont FC,2,2,Rathcoole FC,-,Herbert Park,League,Y,,20260117,17-Jan-26,Sun
15.4 Boys Sat,Belmont FC,3,4,St Joseph's AFC,-,Herbert Park,League,Y,,20260124,24-Jan-26,Sun
15.6 Boys Sat,Belmont FC,2,6,Rathcoole FC,-,Herbert Park,League,Y,,20260124,24-Jan-26,Sun
11.6 Boys Sat,Dunboyne FC,,,Belmont FC,-,Dunboyne,League,N,Weather,20260124,24-Jan-26,Girls
11.6/7 Boys Saturday Subsidary Cup,Firhouse Carmel FC,,,Belmont FC,Arturs Giriks,Firhouse CC,Cup,Y,,20260124,24-Jan-26,Girls
